2015-03-12 13:58:10,863 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-spring/3.0.10.Final/resteasy-spring-3.0.10.Final.pom
2015-03-12 13:58:11,262 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/jboss/resteasy/resteasy-jettison-provider/3.0.10.Final/resteasy-jettison-provider-3.0.10.Final.pom
2015-03-12 13:58:11,649 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-jettison-provider/3.0.10.Final/resteasy-jettison-provider-3.0.10.Final.pom
2015-03-12 13:58:11,996 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-jettison-provider/3.0.10.Final/resteasy-jettison-provider-3.0.10.Final.pom
2015-03-12 13:58:12,408 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/jboss/resteasy/resteasy-jaxb-provider/3.0.10.Final/resteasy-jaxb-provider-3.0.10.Final.pom
2015-03-12 13:58:12,809 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-jaxb-provider/3.0.10.Final/resteasy-jaxb-provider-3.0.10.Final.pom
2015-03-12 13:58:13,156 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-jaxb-provider/3.0.10.Final/resteasy-jaxb-provider-3.0.10.Final.pom
2015-03-12 13:58:13,579 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/jboss/resteasy/resteasy-client/3.0.10.Final/resteasy-client-3.0.10.Final.pom
2015-03-12 13:58:13,964 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-client/3.0.10.Final/resteasy-client-3.0.10.Final.pom
2015-03-12 13:58:14,319 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-client/3.0.10.Final/resteasy-client-3.0.10.Final.pom
2015-03-12 13:58:14,752 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/springframework/spring-tx/4.1.5.RELEASE/spring-tx-4.1.5.RELEASE.pom
2015-03-12 13:58:15,325 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-tx/4.1.5.RELEASE/spring-tx-4.1.5.RELEASE.pom
2015-03-12 13:58:15,676 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-tx/4.1.5.RELEASE/spring-tx-4.1.5.RELEASE.pom
2015-03-12 13:58:16,197 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/springframework/spring-beans/4.1.5.RELEASE/spring-beans-4.1.5.RELEASE.pom
2015-03-12 13:58:16,600 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-beans/4.1.5.RELEASE/spring-beans-4.1.5.RELEASE.pom
2015-03-12 13:58:16,959 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-beans/4.1.5.RELEASE/spring-beans-4.1.5.RELEASE.pom
2015-03-12 13:58:18,292 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/springframework/spring-core/4.1.5.RELEASE/spring-core-4.1.5.RELEASE.pom
2015-03-12 13:58:18,710 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-core/4.1.5.RELEASE/spring-core-4.1.5.RELEASE.pom
2015-03-12 13:58:19,084 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-core/4.1.5.RELEASE/spring-core-4.1.5.RELEASE.pom
2015-03-12 13:58:19,792 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/commons-logging/commons-logging/1.2/commons-logging-1.2.pom
2015-03-12 13:58:20,225 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/commons-logging/commons-logging/1.2/commons-logging-1.2.pom
2015-03-12 13:58:20,632 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/commons-logging/commons-logging/1.2/commons-logging-1.2.pom
2015-03-12 13:58:21,362 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/springframework/spring-context/4.1.5.RELEASE/spring-context-4.1.5.RELEASE.pom
2015-03-12 13:58:21,791 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-context/4.1.5.RELEASE/spring-context-4.1.5.RELEASE.pom
2015-03-12 13:58:22,170 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-context/4.1.5.RELEASE/spring-context-4.1.5.RELEASE.pom
2015-03-12 13:58:22,868 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/springframework/spring-aop/4.1.5.RELEASE/spring-aop-4.1.5.RELEASE.pom
2015-03-12 13:58:23,279 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-aop/4.1.5.RELEASE/spring-aop-4.1.5.RELEASE.pom
2015-03-12 13:58:23,654 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-aop/4.1.5.RELEASE/spring-aop-4.1.5.RELEASE.pom
2015-03-12 13:58:25,101 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/springframework/spring-expression/4.1.5.RELEASE/spring-expression-4.1.5.RELEASE.pom
2015-03-12 13:58:25,518 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-expression/4.1.5.RELEASE/spring-expression-4.1.5.RELEASE.pom
2015-03-12 13:58:25,895 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/springframework/spring-expression/4.1.5.RELEASE/spring-expression-4.1.5.RELEASE.pom
